2025-10-14T13:16:08.578850+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T19:56:30.192961+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T19:56:30.288668+0530 | ERROR | Error loading data from data/raw\climate_data_2020_2023.csv: 'Production_tonnes' | {}
2025-10-14T19:56:30.310396+0530 | ERROR | Error loading data from data/raw\sample_agri_data.csv: 'Year' | {}
2025-10-14T19:56:31.114894+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T19:56:31.190284+0530 | ERROR | Error loading data from data/raw\climate_data_2020_2023.csv: 'Production_tonnes' | {}
2025-10-14T19:56:31.225587+0530 | ERROR | Error loading data from data/raw\sample_agri_data.csv: 'Year' | {}
2025-10-14T20:25:32.660755+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T20:25:33.219132+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-14T20:25:33.243456+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-14T20:25:33.243920+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-14T20:25:49.478858+0530 | INFO | Vector store built | {}
2025-10-14T20:25:49.480696+0530 | INFO | Index built. Starting API... | {}
2025-10-14T20:27:21.673872+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:30:55.336825+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T20:30:55.520309+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-14T20:30:55.528790+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-14T20:30:55.529431+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-14T20:30:59.515531+0530 | INFO | Vector store built | {}
2025-10-14T20:30:59.516562+0530 | INFO | Index built. Starting API... | {}
2025-10-14T20:31:38.175070+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:31:53.907506+0530 | INFO | Retrieved agricultural data: 10 records | {}
2025-10-14T20:31:53.913722+0530 | INFO | Retrieved climate data: 9 records | {}
2025-10-14T20:31:53.984487+0530 | INFO | Combined dataset: 4 records | {}
2025-10-14T20:31:54.005821+0530 | INFO | Query using Gemini 2.0 Flash: What was the total rice production in Maharashtra  | {}
2025-10-14T20:37:01.253768+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:37:01.933351+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T20:37:02.338697+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-14T20:37:02.350976+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-14T20:37:02.353244+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-14T20:37:19.940058+0530 | INFO | Vector store built | {}
2025-10-14T20:37:19.941766+0530 | INFO | Index built. Starting API... | {}
2025-10-14T20:38:19.412058+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:41:22.355661+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T20:41:23.024350+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-14T20:41:23.109645+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-14T20:41:23.128464+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-14T20:41:35.038176+0530 | INFO | Vector store built | {}
2025-10-14T20:41:35.042720+0530 | INFO | Index built. Starting API... | {}
2025-10-14T20:43:06.307361+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-14T20:43:06.508855+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-14T20:43:06.517900+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-14T20:43:06.518474+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-14T20:43:10.768766+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:43:12.213072+0530 | INFO | Vector store built | {}
2025-10-14T20:43:12.214723+0530 | INFO | Index built. Starting API... | {}
2025-10-14T20:43:57.738413+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:47:46.643977+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T20:49:03.202465+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T21:07:25.098406+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-14T21:07:25.120986+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
